timestamp,gyro_x,gyro_y,gyro_z
7.653,3.450,2.763,0.588
7.669,3.412,2.550,0.672
7.685,3.298,2.267,0.504
7.701,3.389,2.405,0.481
7.717,3.389,2.603,0.595
7.734,3.191,2.473,0.473
7.750,3.443,2.267,0.595
7.766,3.214,2.458,0.427
7.782,3.389,2.328,0.466
7.799,3.160,2.496,0.489
7.815,3.565,2.519,0.382
7.831,3.328,2.634,0.702
7.847,3.282,2.511,0.450
7.863,3.458,2.641,0.618
7.880,3.687,2.382,0.466
7.896,3.435,2.656,0.679
7.912,3.221,2.534,0.718
7.928,3.389,2.489,0.565
7.944,3.595,2.763,0.618
7.961,3.267,2.656,0.473
7.977,3.176,2.603,0.718
7.993,3.344,2.473,0.679
8.009,3.290,2.603,0.473
8.025,3.618,2.534,0.573
8.041,3.313,2.641,0.527
8.058,3.168,2.534,0.611
8.074,3.298,2.611,0.527
8.090,3.573,2.565,0.603
8.106,3.214,2.847,0.382
8.122,3.542,2.397,0.580
8.139,3.374,2.267,0.718
8.155,3.603,2.450,0.321
8.171,3.336,2.450,0.466
8.187,3.298,2.748,0.420
8.203,3.344,2.351,0.496
8.220,3.458,2.466,0.534
8.236,3.481,2.695,0.649
8.252,3.321,2.206,0.458
8.268,3.221,2.427,0.580
8.284,3.519,2.519,0.725
8.301,3.435,2.580,0.511
8.317,3.420,2.405,0.489
8.333,3.397,2.687,0.260
8.349,3.282,2.519,0.740
8.365,3.221,2.420,0.641
8.382,3.298,2.573,0.458
8.398,3.313,2.687,0.679
8.414,3.405,2.603,0.504
8.430,3.275,2.557,0.580
8.447,3.229,2.542,0.679
8.463,3.618,2.504,0.534
8.479,3.145,2.672,0.519
8.495,3.443,2.420,0.603
8.511,3.687,2.550,0.916
8.528,3.374,2.260,0.649
8.544,3.466,2.412,0.481
8.560,3.427,2.565,0.702
8.576,3.221,2.466,0.397
8.593,3.397,2.763,0.718
8.609,3.366,2.519,0.626
8.625,3.374,2.565,0.466
8.641,3.534,2.382,0.519
8.657,3.260,2.748,0.626
8.674,3.389,2.618,0.916
8.690,3.321,2.397,0.534
8.706,3.298,2.580,0.710
8.722,3.519,2.496,0.626
8.738,3.115,2.473,0.679
8.755,3.443,2.588,0.534
8.771,3.405,2.725,0.344
8.787,3.313,2.626,0.725
8.803,3.397,2.290,0.557
8.820,3.137,2.473,0.710
8.836,3.435,2.374,0.542
8.852,3.626,2.618,0.534
8.868,3.336,2.450,0.252
8.885,3.282,2.389,0.641
8.901,3.328,2.481,0.412
8.917,3.405,2.649,0.748
8.933,3.435,2.588,0.466
8.949,3.450,2.336,0.405
8.966,2.916,2.656,0.557
8.982,3.481,2.603,0.336
8.998,3.351,2.435,0.580
9.015,3.122,2.366,0.679
9.031,3.405,2.389,0.710
9.047,3.252,2.534,0.412
9.063,3.366,2.473,0.702
9.079,3.450,2.389,0.786
9.096,3.435,2.420,0.565
9.112,3.450,2.443,0.603
9.128,3.412,2.527,0.786
9.144,3.588,2.359,0.885
9.160,3.611,2.336,0.519
9.177,3.115,2.718,0.519
9.193,3.214,2.824,0.221
9.209,3.321,2.626,0.618
9.225,3.450,2.450,0.664
9.241,3.244,2.679,0.534
9.258,3.519,2.626,0.534
9.274,3.595,2.603,0.580
9.290,3.366,2.626,0.603
9.306,3.191,2.519,0.473
9.323,3.504,2.634,0.519
9.339,3.191,2.573,0.511
9.355,3.603,2.611,0.489
9.371,3.450,2.389,0.580
9.387,3.382,2.626,0.687
9.404,3.359,2.435,0.443
9.420,3.267,2.511,0.573
9.436,3.290,2.519,0.435
9.452,3.305,2.634,0.527
9.468,3.550,2.557,0.611
9.485,3.420,2.481,0.710
9.501,3.603,2.557,0.611
9.517,3.122,2.542,0.473
9.533,3.489,2.527,0.450
9.549,3.481,2.550,0.298
9.567,3.397,2.473,0.458
9.586,3.397,2.435,0.626
9.601,3.321,2.595,0.618
9.616,3.198,2.695,0.534
9.631,3.229,2.504,0.481
9.646,3.382,2.580,0.504
9.661,3.412,2.405,0.427
9.676,3.420,2.366,0.481
9.692,3.267,2.733,0.611
9.707,3.359,2.382,0.519
9.721,3.427,2.321,0.595
9.735,3.313,2.618,0.595
9.749,3.046,2.603,0.573
9.763,3.420,2.504,0.496
9.777,3.206,2.550,0.641
9.791,3.382,2.649,0.588
9.804,3.359,2.237,0.542
9.818,3.298,2.427,0.382
9.833,3.336,2.466,0.466
9.848,3.374,2.695,0.595
9.862,3.336,2.557,0.412
9.877,3.542,2.595,0.794
9.892,3.542,2.405,0.618
9.907,3.534,2.382,0.466
9.922,3.176,2.870,0.519
9.937,3.351,2.626,0.336
9.951,3.450,2.252,0.542
9.966,3.458,2.725,0.557
9.981,3.344,2.374,0.534
9.996,3.489,2.870,0.473
10.011,3.374,2.389,0.603
10.026,3.557,2.580,0.550
10.041,3.405,2.687,0.672
10.056,3.397,2.473,0.603
10.070,3.412,2.634,0.672
10.085,3.489,2.847,0.656
10.100,3.458,2.626,0.550
10.115,3.405,2.473,0.809
10.130,3.542,2.435,0.634
10.145,3.466,2.527,0.649
10.160,3.351,2.405,0.573
10.174,3.374,2.626,0.870
10.189,3.214,2.496,0.855
10.204,3.122,2.718,0.595
10.219,3.397,2.458,0.573
10.234,3.450,2.557,0.733
10.248,3.511,2.198,0.855
10.263,3.244,2.588,0.466
10.278,3.420,2.397,0.832
10.293,3.450,2.794,0.725
10.308,3.473,2.519,0.634
10.323,3.244,2.374,0.809
10.338,3.305,2.450,0.252
10.352,3.229,2.580,0.534
10.367,3.481,2.573,0.519
10.382,3.405,2.550,0.824
10.397,3.489,2.687,0.763
10.413,3.435,2.634,0.611
10.429,3.298,2.626,0.603
10.445,3.389,2.496,0.634
10.461,3.267,2.603,0.580
10.478,3.366,2.267,0.481
10.494,3.214,2.733,0.595
10.510,3.565,2.695,0.374
10.526,3.527,2.634,0.481
10.543,3.450,2.534,0.802
10.559,3.359,2.588,0.626
10.575,3.321,2.664,0.603
10.591,3.504,2.481,0.763
10.608,3.435,2.466,0.336
10.624,3.420,2.504,0.183
10.640,3.435,2.588,0.634
10.656,3.626,2.260,0.710
10.672,3.168,2.519,0.336
10.689,3.786,2.511,0.328
10.705,3.473,2.580,0.573
10.721,3.458,2.359,0.573
10.737,3.412,2.412,0.626
10.753,3.489,2.473,0.481
10.770,3.427,2.718,0.565
10.786,3.405,2.641,0.626
10.802,3.305,2.550,0.634
10.818,3.290,2.496,0.626
10.835,3.542,2.458,0.504
10.851,3.511,2.305,0.771
10.867,3.542,2.634,0.489
10.883,3.443,2.626,0.405
10.903,3.282,2.267,0.656
10.919,3.237,2.473,0.786
10.936,3.321,2.511,0.382
10.952,3.221,2.641,0.725
10.968,3.015,2.725,0.618
10.985,3.298,2.412,0.687
11.001,3.382,2.603,0.374
11.017,3.443,2.901,0.405
11.033,3.435,2.634,0.466
11.049,3.496,2.588,0.740
11.066,3.565,2.695,0.450
11.082,3.466,2.718,0.427
11.098,3.412,2.115,0.656
11.114,3.420,2.359,0.405
11.131,3.328,2.542,0.511
11.147,3.618,2.504,0.573
11.163,3.435,2.649,0.527
11.179,3.496,2.145,0.740
11.195,3.313,2.878,0.550
11.212,3.191,2.695,0.718
